Item Number,Warehouse Location,Quantity
A920Pro-2AW-RE6-20EU-C-FR#FP,DK,1166
A920Pro-2AW-RE6-20EU-C-IT,DE,0
A920Pro-2AW-RE6-20EU-C-UK,DE,0
A920Pro-2AW-RE6-20EU-FR,DE,0
Basic-Langærmet-Unisex-L-B,DE,0
Basic-Langærmet-Unisex-L-B#FP,DK,34
Basic-Langærmet-Unisex-L-W,DE,0
Basic-Langærmet-Unisex-M-B,DE,0
Basic-Langærmet-Unisex-M-B#FP,DK,28
Basic-Langærmet-Unisex-M-W,DE,0
Basic-Langærmet-Unisex-M-W#FP,DK,14
Basic-Langærmet-Unisex-S-B,DE,0
Basic-Langærmet-Unisex-S-B#FP,DK,12
Basic-Langærmet-Unisex-S-W,DE,0
Basic-Langærmet-Unisex-XS-B,DE,0
Basic-Langærmet-Unisex-XS-B#FP,DK,9
Basic-Langærmet-Unisex-XS-W,DE,0
Basic-Langærmet-Unisex-XS-W#FP,DK,4
Basic-Tshirt-Krave-2XL-B,DE,0
Basic-Tshirt-Krave-2XL-B#FP,DK,15
Basic-Tshirt-Krave-3XL-B,DE,0
Basic-Tshirt-Krave-3XL-B#FP,DK,6
Basic-Tshirt-Krave-L-B,DE,0
Basic-Tshirt-Krave-L-B#FP,DK,18
Basic-Tshirt-Krave-M-B,DE,0
Basic-Tshirt-Krave-M-B#FP,DK,9
Basic-Tshirt-Krave-S-B,DE,0
Basic-Tshirt-Krave-S-B#FP,DK,13
Basic-Tshirt-Krave-XL-B,DE,0
Basic-Tshirt-Krave-XL-B#FP,DK,28
Basic-Tshirt-Krave-XS-B,DE,0
Basic-Tshirt-Krave-XS-B#FP,DK,8
CA-CD330-48B,DE,46
CA-CD330-48B#FP,DK,2755
Cposx5-C-DE,DE,0
Cposx5-C-DE#FP,DK,178
Cposx5-C-DK,DE,0
Cposx5-C-DK#FP,DK,617
Cposx5-C-FI,DE,0
Cposx5-C-FI#FP,DK,144
Cposx5-C-FR,DE,0
Cposx5-C-IT,DE,0
Cposx5-DE,DE,0
Cposx5-DE#FP,DE,4
Cposx5-DE#FP,DK,600
Cposx5-DE#FP,General,25
Cposx5-DK,DE,0
Cposx5-DK#FP,DK,40
Cposx5-FI,DE,0
Cposx5-FI#FP,DK,104
Cposx5-R-DE,DE,14
Cposx5-R-DK,DE,0
Cposx5-R-FI,DE,0
Ether10m,DE,79
Ether20m,DE,121
Ether5m,DE,0
Ether5m#FP,DK,1
"Ether7,5m",DE,1131
"Ether7,5m#FP",DE,544
"Ether7,5m#FP",DK,6517
FP_SK_EVA_Black,DE,0
K1480-B,DE,173
K1480-B#FP,DK,5543
K1480-W,DE,7138
K1480-W#FP,DK,28331
L920Pro-BC-1E0,DE,114
L920Pro-BC-1E0#FP,DK,28260
MT134-1,DE,935
MT134-1#FP,DK,3607
Silicone_cover_white,DE,130
Silicone_cover_white#FP,DK,11815
Sim-CPOS-2MM,DE,0
Sim-CPOS-2MM#FP,DE,4
Sim-CPOS-2MM#FP,DK,1192
"Sim-Terminal-1,5MM",DE,0
"Sim-Terminal-1,5MM#FP",DE,50000
"Sim-Terminal-1,5MM#FP",DK,28120
TB32BXU,DE,0
TB32BXU-C-DE,DE,0
TB32BXU-C-DE#FP,DK,340
TB32BXU-C-DK,DE,0
TB32BXU-C-DK#FP,DK,206
TB32BXU-C-FI,DE,0
TB32BXU-C-FR,DE,0
TB32BXU-C-IT,DE,0
TB32BXU-DE,DE,0
TB32BXU-DK,DE,0
TB32BXU-DK#FP,DK,1241
TH13-B,DE,18
TH13-B#FP,DK,2207
TP-Link WA850RE,DE,44
Terminal Stand Black,DE,0
Terminal stand White,DE,20
Terminal stand White#FP,DE,250
Terminal stand White#FP,DK,48
UN3480_FP_TERMINAL_BAT,DE,0
UN3480_FP_TERMINAL_BAT#FP,DK,1369
VEJLEDNING-POS,DE,0
VEJLEDNING-POS#FP,DK,5809
VL305.741,DE,98
VL305.741#FP,DE,167
VL305.741#FP,DK,1590
VL308.096,DE,23
VL308.096#FP,DE,72
VL308.096#FP,DK,305
silicone_cover_black,DE,79
silicone_cover_black#FP,DK,10795
